Index,Questions,Count,Upvotes,Answers
0,https://stackoverflow.com/questions/11227809/why-is-processing-a-sorted-array-faster-than-processing-an-unsorted-array,1,26120,28
1,https://stackoverflow.com/questions/927358/how-do-i-undo-the-most-recent-local-commits-in-git,1,23693,100
2,https://stackoverflow.com/questions/2003505/how-do-i-delete-a-git-branch-locally-and-remotely,1,18776,41
3,https://stackoverflow.com/questions/292357/what-is-the-difference-between-git-pull-and-git-fetch,1,12960,38
6,https://stackoverflow.com/questions/348170/how-do-i-undo-git-add-before-commit,1,10247,37
7,https://stackoverflow.com/questions/5767325/how-can-i-remove-a-specific-item-from-an-array,1,10204,117
8,https://stackoverflow.com/questions/6591213/how-do-i-rename-a-local-git-branch,1,10039,36
5,https://stackoverflow.com/questions/477816/what-is-the-correct-json-content-type,1,11010,37
9,https://stackoverflow.com/questions/1642028/what-is-the-operator-in-c-c,1,9628,29
11,https://stackoverflow.com/questions/244777/can-comments-be-used-in-json,1,8711,61
10,https://stackoverflow.com/questions/79923/what-and-where-are-the-stack-and-heap,1,8814,30
4,https://stackoverflow.com/questions/231767/what-does-the-yield-keyword-do,1,11743,46
13,https://stackoverflow.com/questions/8318911/why-does-html-think-chucknorris-is-a-color,1,8297,10
15,https://stackoverflow.com/questions/1335851/what-does-use-strict-do-in-javascript-and-what-is-the-reasoning-behind-it,1,8069,29
16,https://stackoverflow.com/questions/503093/how-do-i-redirect-to-another-webpage,1,7710,58
17,https://stackoverflow.com/questions/179123/how-to-modify-existing-unpushed-commit-messages,1,7656,27
12,https://stackoverflow.com/questions/1125968/how-do-i-force-git-pull-to-overwrite-local-files,1,8401,47
18,https://stackoverflow.com/questions/1783405/how-do-i-check-out-a-remote-git-branch,1,7647,38
19,https://stackoverflow.com/questions/111102/how-do-javascript-closures-work,1,7626,86
20,https://stackoverflow.com/questions/4114095/how-do-i-revert-a-git-repository-to-a-previous-commit,1,7620,41
21,https://stackoverflow.com/questions/61212/how-to-remove-local-untracked-files-from-the-current-git-working-tree,1,7507,41
23,https://stackoverflow.com/questions/336859/var-functionname-function-vs-function-functionname,1,7334,41
22,https://stackoverflow.com/questions/1789945/how-to-check-whether-a-string-contains-a-substring-in-javascript,1,7418,3
25,https://stackoverflow.com/questions/6841333/why-is-subtracting-these-two-times-in-1927-giving-a-strange-result,1,7287,11
24,https://stackoverflow.com/questions/40480/is-java-pass-by-reference-or-pass-by-value,1,7303,92
26,https://stackoverflow.com/questions/419163/what-does-if-name-main-do,1,7238,39
27,https://stackoverflow.com/questions/394809/does-python-have-a-ternary-conditional-operator,1,7113,29
28,https://stackoverflow.com/questions/7074/what-is-the-difference-between-string-and-string-in-c,1,7107,63
29,https://stackoverflow.com/questions/208105/remove-properties-from-objects-javascript,1,6882,32
30,https://stackoverflow.com/questions/1274057/how-can-i-make-git-forget-about-a-file-that-was-tracked-but-is-now-in-gitign,1,6826,30
31,https://stackoverflow.com/questions/100003/what-are-metaclasses-in-python,1,6533,24
32,https://stackoverflow.com/questions/82831/how-do-i-check-whether-a-file-exists-without-exceptions,1,6485,42
33,https://stackoverflow.com/questions/16956810/how-do-i-find-all-files-containing-specific-text-on-linux,1,6439,53
34,https://stackoverflow.com/questions/14220321/how-to-return-the-response-from-an-asynchronous-call,1,6237,42
35,https://stackoverflow.com/questions/2025282/what-is-the-difference-between-px-dip-dp-and-sp,1,6159,36
36,https://stackoverflow.com/questions/38987/how-do-i-merge-two-dictionaries-in-a-single-expression-take-union-of-dictionari,1,6069,54
37,https://stackoverflow.com/questions/630453/what-is-the-difference-between-post-and-put-in-http,1,5870,38
14,https://stackoverflow.com/questions/178325/how-do-i-check-if-an-element-is-hidden-in-jquery,1,8271,62
38,https://stackoverflow.com/questions/950087/how-do-i-include-a-javascript-file-in-another-javascript-file,1,5849,65
41,https://stackoverflow.com/questions/359494/which-equals-operator-vs-should-be-used-in-javascript-comparisons,1,5656,48
42,https://stackoverflow.com/questions/59895/how-can-i-get-the-source-directory-of-a-bash-script-from-within-the-script-itsel,1,5596,72
40,https://stackoverflow.com/questions/826782/how-to-disable-text-selection-highlighting,1,5733,50
44,https://stackoverflow.com/questions/762011/whats-the-difference-between-using-let-and-var,1,5540,38
45,https://stackoverflow.com/questions/52704/how-do-i-discard-unstaged-changes-in-git,1,5535,37
46,https://stackoverflow.com/questions/549/the-definitive-guide-to-form-based-website-authentication,1,5522,11
43,https://stackoverflow.com/questions/89228/how-to-execute-a-program-or-call-a-system-command,1,5570,62
47,https://stackoverflow.com/questions/417142/what-is-the-maximum-length-of-a-url-in-different-browsers,1,5312,17
48,https://stackoverflow.com/questions/9329446/for-each-over-an-array-in-javascript,1,5234,40
39,https://stackoverflow.com/questions/1628563/move-the-most-recent-commits-to-a-new-branch-with-git,1,5798,18
49,https://stackoverflow.com/questions/487258/what-is-a-plain-english-explanation-of-big-o-notation,1,5181,42
1,https://stackoverflow.com/questions/215718/how-can-i-reset-or-revert-a-file-to-a-specific-revision,1,5151,34
0,https://stackoverflow.com/questions/122102/what-is-the-most-efficient-way-to-deep-clone-an-object-in-javascript,1,5173,67
2,https://stackoverflow.com/questions/46155/whats-the-best-way-to-validate-an-email-address-in-javascript,1,5140,101
5,https://stackoverflow.com/questions/1144783/how-to-replace-all-occurrences-of-a-string-in-javascript,1,5047,79
4,https://stackoverflow.com/questions/273192/how-can-i-safely-create-a-nested-directory,1,5048,28
3,https://stackoverflow.com/questions/161813/how-to-resolve-merge-conflicts-in-a-git-repository,1,5136,39
6,https://stackoverflow.com/questions/2432764/how-to-change-the-uri-url-for-a-remote-git-repository,1,5046,30
9,https://stackoverflow.com/questions/901712/how-do-i-check-whether-a-checkbox-is-checked-in-jquery,1,4945,67
10,https://stackoverflow.com/questions/3737139/reference-what-does-this-symbol-mean-in-php,1,4849,22
11,https://stackoverflow.com/questions/406230/regular-expression-to-match-a-line-that-doesnt-contain-a-word,1,4848,31
7,https://stackoverflow.com/questions/2765421/how-do-i-push-a-new-local-branch-to-a-remote-git-repository-and-track-it-too,1,5023,16
12,https://stackoverflow.com/questions/115983/how-can-i-add-a-blank-directory-to-a-git-repository,1,4829,37
8,https://stackoverflow.com/questions/38549/what-is-the-difference-between-inner-join-and-outer-join,1,5011,27
14,https://stackoverflow.com/questions/4089430/how-can-i-determine-the-url-that-a-local-git-repository-was-originally-cloned-fr,1,4760,26
15,https://stackoverflow.com/questions/1628088/reset-local-repository-branch-to-be-just-like-remote-repository-head,1,4759,21
17,https://stackoverflow.com/questions/4456438/how-to-pass-null-a-real-surname-to-a-soap-web-service-in-actionscript-3,1,4722,9
18,https://stackoverflow.com/questions/176264/what-is-the-difference-between-a-uri-a-url-and-a-urn,1,4700,31
16,https://stackoverflow.com/questions/114543/how-to-horizontally-center-an-element,1,4759,123
19,https://stackoverflow.com/questions/237104/how-do-i-check-if-an-array-includes-a-value-in-javascript,1,4539,56
20,https://stackoverflow.com/questions/11828270/how-do-i-exit-the-vim-editor,1,4536,12
21,https://stackoverflow.com/questions/14994391/thinking-in-angularjs-if-i-have-a-jquery-background,1,4511,15
22,https://stackoverflow.com/questions/67699/how-to-clone-all-remote-branches-in-git,1,4492,45
24,https://stackoverflow.com/questions/2389361/undo-a-git-merge-that-hasnt-been-pushed-yet,1,4465,33
25,https://stackoverflow.com/questions/309424/how-do-i-read-convert-an-inputstream-into-a-string-in-java,1,4457,62
26,https://stackoverflow.com/questions/1026069/how-do-i-make-the-first-letter-of-a-string-uppercase-in-javascript,1,4452,110
13,https://stackoverflow.com/questions/105034/how-to-create-a-guid-uuid,1,4769,68
27,https://stackoverflow.com/questions/221294/how-do-you-get-a-timestamp-in-javascript,1,4430,41
29,https://stackoverflow.com/questions/952914/how-to-make-a-flat-list-out-of-a-list-of-lists,1,4414,24
30,https://stackoverflow.com/questions/426258/setting-checked-for-a-checkbox-with-jquery,1,4398,43
31,https://stackoverflow.com/questions/7244321/how-do-i-update-or-sync-a-forked-repository-on-github,1,4313,31
32,https://stackoverflow.com/questions/2669690/why-does-google-prepend-while1-to-their-json-responses,1,4304,8
33,https://stackoverflow.com/questions/134845/which-href-value-should-i-use-for-javascript-links-or-javascriptvoid0,1,4297,55
23,https://stackoverflow.com/questions/522563/accessing-the-index-in-for-loops,1,4491,24
28,https://stackoverflow.com/questions/5189560/squash-my-last-x-commits-together-using-git,1,4428,40
36,https://stackoverflow.com/questions/388242/the-definitive-c-book-guide-and-list,1,4235,1
35,https://stackoverflow.com/questions/271526/avoiding-nullpointerexception-in-java,1,4260,65
37,https://stackoverflow.com/questions/2610497/change-a-html5-inputs-placeholder-color-with-css,1,4193,42
34,https://stackoverflow.com/questions/22343224/whats-the-difference-between-tilde-and-caret-in-package-json,1,4286,19
38,https://stackoverflow.com/questions/136097/difference-between-staticmethod-and-classmethod,1,4176,33
39,https://stackoverflow.com/questions/1109022/how-do-you-close-hide-the-android-soft-keyboard-programmatically,1,4148,123
41,https://stackoverflow.com/questions/105372/how-to-enumerate-an-enum,1,4126,32
42,https://stackoverflow.com/questions/16047306/how-is-docker-different-from-a-virtual-machine,1,4108,21
43,https://stackoverflow.com/questions/509211/understanding-slice-notation,1,4094,33
44,https://stackoverflow.com/questions/671118/what-exactly-is-restful-programming,1,4094,35
45,https://stackoverflow.com/questions/40471/what-are-the-differences-between-a-hashmap-and-a-hashtable-in-java,1,4091,35
47,https://stackoverflow.com/questions/14415881/how-can-i-pair-socks-from-a-pile-efficiently,1,4057,37
48,https://stackoverflow.com/questions/2334712/how-do-i-update-from-a-select-in-sql-server,1,4020,36
49,https://stackoverflow.com/questions/400212/how-do-i-copy-to-the-clipboard-in-javascript,1,3974,65
40,https://stackoverflow.com/questions/5480258/how-to-delete-a-remote-tag,1,4143,25
46,https://stackoverflow.com/questions/59838/how-can-i-check-if-a-directory-exists-in-a-bash-shell-script,1,4077,35
